Project_Name;Class_Name;Release_ID;Size_LOC;N_Methods;NR_Release;NR_Total;Nfix_Release;Nfix_Total;Nauth_Release;Nauth_Total;MAX_LOC_Added_Release;Churn_Release;Churn_Total;AVG_Churn_Release;MAX_ChgSet_Release;N_Multi_Release;Sum_Multi_ChgSet_Release;Age_Weeks;Weighted_Age;ND;Entropy;Exp;Historical_Bug_Density;NSmells;Bugginess
ZOOKEEPER;src/java/main/org/apache/zookeeper/ZooKeeperMain.java;1;192;8;6;6;6;6;2;2;228;260;260;43.33;26;6;98;10;2600.00;3.33;2.75;26.67;1.000;39;YES
ZOOKEEPER;src/java/main/org/apache/jute/InputArchive.java;1;20;15;8;8;7;7;2;2;45;47;47;5.88;229;8;1036;51;2397.00;11.38;1.42;5.00;0.875;0;NO
ZOOKEEPER;src/java/main/org/apache/jute/OutputArchive.java;1;22;15;9;9;7;7;3;3;49;58;58;6.44;229;9;1052;51;2958.00;10.67;1.69;7.33;0.778;7;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java;1;13;10;7;7;6;6;2;2;66;80;80;11.43;229;7;862;20;1600.00;11.71;2.48;10.57;0.857;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/ZooKeeper.java;1;505;48;35;35;26;26;6;6;874;5732;5732;163.77;229;31;1515;51;292332.00;5.43;2.06;18.74;0.743;21;YES
ZOOKEEPER;src/docs/src/documentation/content/xdocs/javaExample.xml;1;560;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JVector.java;1;67;13;9;9;7;7;3;3;106;114;114;12.67;229;9;1052;51;5814.00;10.67;1.69;7.33;0.778;9;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/package.html;1;79;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/util/ObservableComponent.java;1;4;1;7;7;6;6;2;2;32;46;46;6.57;229;7;862;20;920.00;11.71;2.48;10.57;0.857;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/QuorumStats.java;1;54;9;10;10;10;10;3;3;76;149;149;14.90;229;10;1122;29;4321.00;11.20;2.37;15.30;1.000;6;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/upgrade/UpgradeMain.java;1;109;5;1;1;1;1;1;1;181;181;181;181.00;14;1;14;1;181.00;4.00;2.44;59.00;1.000;2;NO
ZOOKEEPER;src/java/main/org/apache/jute/Index.java;1;5;2;8;8;7;7;2;2;39;41;41;5.13;229;8;1036;51;2091.00;11.38;1.42;5.00;0.875;0;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeerMain.java;1;73;2;4;4;4;4;2;2;142;194;194;48.50;39;4;108;10;1940.00;6.75;3.55;32.25;1.000;0;YES
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JMap.java;1;64;11;8;8;7;7;2;2;101;105;105;13.13;229;8;1036;51;5355.00;11.38;1.42;5.00;0.875;9;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/TraceFormatter.java;1;90;2;9;9;8;8;3;3;117;139;139;15.44;229;9;1148;51;7089.00;11.56;2.39;5.22;0.889;4;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java;1;5;2;7;7;6;6;2;2;34;48;48;6.86;229;7;862;20;960.00;11.71;2.48;10.57;0.857;0;NO
ZOOKEEPER;docs/skin/breadcrumbs-optimized.js;1;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/overview.html;1;9;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/generated/package.html;1;11;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JFloat.java;1;12;3;8;8;7;7;2;2;40;42;42;5.25;229;8;1036;51;2142.00;11.38;1.42;5.00;0.875;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/FollowerSyncRequest.java;1;13;1;2;2;2;2;2;2;18;34;34;17.00;20;2;23;3;102.00;3.50;1.60;33.50;1.000;0;YES
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JLong.java;1;12;3;8;8;7;7;2;2;39;41;41;5.13;229;8;1036;51;2091.00;11.38;1.42;5.00;0.875;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/auth/DigestAuthenticationProvider.java;1;95;9;11;11;8;8;3;3;127;655;655;59.55;229;11;1190;51;33405.00;10.45;2.66;6.91;0.727;16;NO
ZOOKEEPER;docs/zookeeperTutorial.html;1;735;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;9;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerMXBean.java;1;5;2;7;7;6;6;2;2;31;45;45;6.43;229;7;862;20;900.00;11.71;2.48;10.57;0.857;0;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java;1;24;5;8;8;7;7;3;3;46;69;69;8.63;229;8;880;20;1380.00;11.13;2.58;10.38;0.875;0;NO
ZOOKEEPER;docs/javaExample.html;1;741;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;13;NO
ZOOKEEPER;docs/skin/menu.js;1;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/ObservableNIOServerCnxn.java;1;49;7;7;7;6;6;2;2;83;103;103;14.71;229;7;862;20;2060.00;11.71;2.48;10.57;0.857;1;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java;1;646;35;22;22;16;16;5;5;850;4687;4687;213.05;229;22;1415;51;239037.00;7.45;2.75;19.86;0.727;34;YES
ZOOKEEPER;src/java/main/org/apache/jute/CsvInputArchive.java;1;161;21;8;8;7;7;2;2;210;212;212;26.50;229;8;1036;51;10812.00;11.38;1.42;5.00;0.875;14;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/generated/TokenMgrError.java;1;72;6;8;8;7;7;2;2;151;153;153;19.13;229;8;1036;51;7803.00;11.38;1.42;5.00;0.875;9;NO
ZOOKEEPER;build.xml;1;583;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/ServerAdminClient.java;1;254;10;13;13;8;8;4;4;264;1436;1436;110.46;229;13;1218;51;73236.00;9.38;2.59;12.46;0.615;17;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JByte.java;1;9;2;8;8;7;7;2;2;35;37;37;4.63;229;8;1036;51;1887.00;11.38;1.42;5.00;0.875;0;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollowerZooKeeperServer.java;1;22;3;8;8;7;7;2;2;53;79;79;9.88;229;8;897;20;1580.00;11.38;2.63;14.50;0.875;0;NO
ZOOKEEPER;docs/skin/CommonMessages_de.xml;1;7;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/FollowerRequestProcessor.java;1;63;4;16;16;11;11;5;5;91;145;145;9.06;229;16;1278;51;7395.00;8.13;2.54;18.19;0.688;2;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java;1;42;2;2;2;2;2;2;2;74;88;88;44.00;35;2;53;10;880.00;8.00;3.52;25.50;1.000;0;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/ZooTrace.java;1;45;6;10;10;9;9;3;3;92;294;294;29.40;229;10;1107;24;7056.00;10.80;2.24;14.20;0.900;16;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java;1;346;17;15;15;11;11;5;5;656;2420;2420;161.33;229;14;1197;33;79860.00;8.07;2.27;25.87;0.733;29;YES
ZOOKEEPER;src/docs/src/documentation/content/xdocs/releasenotes.xml;1;1193;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java;1;34;9;9;9;8;8;2;2;89;122;122;13.56;229;9;936;20;2440.00;11.00;2.84;16.78;0.889;2;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/FollowerSessionTracker.java;1;43;8;10;10;7;7;3;3;79;115;115;11.50;229;10;1143;51;5865.00;10.60;2.25;7.60;0.700;7;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/package.html;1;13;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/docs/src/documentation/content/xdocs/zookeeperOver.xml;1;355;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
