Dataset,Release_ID,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Valid_Repetitions
ZooKeeper,21,IBk,No,Yes,0.5939,0.6644,0.7899,0.5037,0.3891,10
ZooKeeper,1,IBk,Yes,No,0.7244,0.7755,0.8824,0.6684,0.4755,10
ZooKeeper,2,IBk,Yes,No,0.4882,0.5000,0.7851,0.4207,0.4654,10
ZooKeeper,3,IBk,Yes,No,0.6924,0.6457,0.8275,0.5863,0.4696,10
ZooKeeper,4,IBk,Yes,No,0.5838,0.5538,0.7843,0.4450,0.3500,10
ZooKeeper,5,IBk,Yes,No,0.6164,0.6074,0.8131,0.5147,0.4870,10
ZooKeeper,6,IBk,Yes,No,0.6485,0.6652,0.8445,0.5846,0.5217,10
ZooKeeper,7,IBk,Yes,No,0.5923,0.6043,0.8189,0.5169,0.5511,10
ZooKeeper,8,IBk,Yes,No,0.5283,0.4760,0.7396,0.4176,0.4280,10
ZooKeeper,9,IBk,Yes,No,0.5666,0.5041,0.7740,0.4582,0.4694,10
ZooKeeper,10,IBk,Yes,No,0.6032,0.5566,0.8298,0.5346,0.5566,10
ZooKeeper,11,IBk,Yes,No,0.6170,0.5792,0.8468,0.5588,0.5812,10
ZooKeeper,12,IBk,Yes,No,0.7352,0.6820,0.9107,0.6561,0.5033,10
ZooKeeper,13,IBk,Yes,No,0.5316,0.5556,0.8052,0.4820,0.4889,10
ZooKeeper,14,IBk,Yes,No,0.5606,0.5304,0.7907,0.4867,0.4587,10
ZooKeeper,15,IBk,Yes,No,0.5496,0.5283,0.7858,0.4683,0.4358,10
ZooKeeper,16,IBk,Yes,No,0.6110,0.6192,0.8416,0.5558,0.4923,10
ZooKeeper,17,IBk,Yes,No,0.5458,0.5120,0.7610,0.4640,0.4100,10
ZooKeeper,18,IBk,Yes,No,0.6078,0.5837,0.8063,0.5416,0.4837,10
ZooKeeper,19,IBk,Yes,No,0.5305,0.5075,0.7664,0.4487,0.3830,10
ZooKeeper,20,IBk,Yes,No,0.6024,0.6011,0.7888,0.4955,0.4138,10
ZooKeeper,21,IBk,Yes,No,0.5973,0.6267,0.8103,0.4882,0.3802,10
ZooKeeper,1,IBk,Yes,Yes,0.7241,0.8163,0.8931,0.6900,0.4878,10
ZooKeeper,2,IBk,Yes,Yes,0.4432,0.5269,0.8066,0.4000,0.4500,10
ZooKeeper,3,IBk,Yes,Yes,0.6455,0.6804,0.8303,0.5726,0.4543,10
ZooKeeper,4,IBk,Yes,Yes,0.5460,0.5827,0.7841,0.4290,0.3538,10
ZooKeeper,5,IBk,Yes,Yes,0.5962,0.6463,0.8259,0.5193,0.4907,10
ZooKeeper,6,IBk,Yes,Yes,0.6176,0.6848,0.8512,0.5721,0.5196,10
ZooKeeper,7,IBk,Yes,Yes,0.5626,0.6255,0.8197,0.5053,0.5362,10
ZooKeeper,8,IBk,Yes,Yes,0.4932,0.5060,0.7427,0.4096,0.4200,10
ZooKeeper,9,IBk,Yes,Yes,0.5218,0.5531,0.7861,0.4541,0.4510,10
ZooKeeper,10,IBk,Yes,Yes,0.5669,0.5981,0.8399,0.5350,0.5660,10
ZooKeeper,11,IBk,Yes,Yes,0.5526,0.6250,0.8514,0.5427,0.6125,10
ZooKeeper,12,IBk,Yes,Yes,0.7072,0.7164,0.9149,0.6583,0.5131,10
ZooKeeper,13,IBk,Yes,Yes,0.4870,0.6022,0.8170,0.4713,0.4756,10
ZooKeeper,14,IBk,Yes,Yes,0.5084,0.5891,0.8067,0.4806,0.4543,10
ZooKeeper,15,IBk,Yes,Yes,0.4989,0.5736,0.7917,0.4552,0.4302,10
ZooKeeper,16,IBk,Yes,Yes,0.5622,0.6442,0.8435,0.5350,0.4712,10
ZooKeeper,17,IBk,Yes,Yes,0.5080,0.5660,0.7765,0.4661,0.4260,10
ZooKeeper,18,IBk,Yes,Yes,0.5603,0.6245,0.8147,0.5313,0.4837,10
ZooKeeper,19,IBk,Yes,Yes,0.4835,0.5396,0.7753,0.4329,0.3887,10
ZooKeeper,20,IBk,Yes,Yes,0.5699,0.6310,0.7869,0.4848,0.4069,10
ZooKeeper,21,IBk,Yes,Yes,0.5684,0.6683,0.8086,0.4825,0.3792,10
